epoch,acc,loss,val_acc,val_loss
0,0.8109930203045685,0.4305773135671761,0.7671319796954315,0.5431853702225661
1,0.8731598984771574,0.30998124456042564,0.9092639593908629,0.25484336905067945
2,0.8909898477157361,0.2723640400746147,0.8911802030456852,0.2843965157336995
3,0.9027760152284264,0.2465339090542745,0.925761421319797,0.18444325249207202
4,0.9127855329949238,0.21940666661801073,0.9317893401015228,0.1809356686881351
5,0.9219225888324873,0.19747781849981563,0.9371827411167513,0.16440240532008524
6,0.9266021573604061,0.18595162391435677,0.9413071065989848,0.14904983901432928
7,0.934993654822335,0.1649915280264949,0.9603426395939086,0.10929259620039596
8,0.9388007614213199,0.15288928453692324,0.9600253807106599,0.09358527598344735
9,0.9444955583756345,0.14121246526424353,0.9597081218274112,0.1159883158914934
10,0.9473191624365482,0.13412841761361827,0.9533629441624365,0.10285745296381452
11,0.9516656091370559,0.12264686203207159,0.936230964467005,0.17935640754433452
12,0.9567734771573604,0.11002674467180888,0.9530456852791879,0.11489518478437123
13,0.9567100253807107,0.10782233870158038,0.9711294416243654,0.07714234702856408
14,0.9595019035532995,0.10094196470690711,0.9657360406091371,0.08034341949685879
15,0.9618496192893401,0.09554541598400337,0.9692258883248731,0.07121099813411079
16,0.9631821065989847,0.09242512223211491,0.978743654822335,0.05295400794236188
17,0.966243654822335,0.08490483047922856,0.9641497461928934,0.07847531489687523
18,0.9673381979695431,0.08220393168196309,0.9679568527918782,0.08361565463509657
19,0.9687182741116751,0.07934009096003729,0.9765228426395939,0.05860933194854084
20,0.9710342639593909,0.07244506271433104,0.9866751269035533,0.03239825492497855
21,0.9714942893401015,0.07128516886156373,0.9854060913705583,0.03229429809669704
22,0.9728267766497461,0.07040112353152203,0.988261421319797,0.030804208366361063
23,0.9736992385786802,0.06672418196000121,0.9822335025380711,0.04819196380372277
24,0.9743972081218274,0.06460470255242122,0.9847715736040609,0.043461019159081925
25,0.9754600253807106,0.06114908510696162,0.9854060913705583,0.036565084767948626
26,0.9757455583756345,0.06131555499924999,0.9854060913705583,0.03509261488422827
27,0.9767607868020305,0.060011275105774024,0.9762055837563451,0.05920925438947749
28,0.9775697969543147,0.05746304141026614,0.962246192893401,0.09304051989982576
29,0.9787277918781726,0.054759658568037606,0.9809644670050761,0.03955943121097339
30,0.9786326142131979,0.053708652345827654,0.988261421319797,0.03091396204181734
31,0.9799651015228427,0.053399152009450085,0.9850888324873096,0.037055903530105246
32,0.9804409898477158,0.05209574119145344,0.9888959390862944,0.025573810847620313
33,0.9803616751269035,0.05079734743298575,0.9927030456852792,0.021702689201415038
34,0.9816307106598985,0.04754110823791985,0.988261421319797,0.03383029196505922
35,0.9819955583756346,0.048196687969747874,0.9933375634517766,0.019478034377003534
36,0.9824238578680203,0.04752362695496605,0.9847715736040609,0.039780160582383275
37,0.9823445431472081,0.0464475797534197,0.986992385786802,0.030768394216110335
38,0.9829314720812182,0.04492875783784589,0.9920685279187818,0.019083665352938744
39,0.983867385786802,0.04264342693143954,0.9895304568527918,0.02745338978995167
40,0.984375,0.04229551663463888,0.9879441624365483,0.03301347008088443
41,0.9838991116751269,0.04269241382962395,0.9942893401015228,0.02278495343581674
42,0.984628807106599,0.04082152024839253,0.9860406091370558,0.034920613175059484
43,0.9845494923857868,0.041334137539048375,0.9927030456852792,0.02882401132010642
44,0.9854695431472081,0.03917236916645818,0.9914340101522843,0.02713096351540047
45,0.9853902284263959,0.03863524903282098,0.9898477157360406,0.02747804835571099
46,0.9850888324873096,0.04019657085202918,0.9923857868020305,0.023359345943787545
47,0.9861040609137056,0.03783127193287166,0.9920685279187818,0.024250865970657863
48,0.9865323604060914,0.03541134410256491,0.9866751269035533,0.02691944710305197
49,0.9858502538071066,0.03843822044404318,0.9946065989847716,0.01707912711213877
